,xG,PrgPasses,Gls/90,xG/90,Shots,Sh/90,SoT/90,Dist,PrgDist,FinalThirdPass,PenaltyAreaCross,SCA90,Tkl Def 3rd,Tkl Mid 3rd,Clearances,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,short_Pass_Ratio,medium_Pass_Ratio,long_Pass_Ratio,clusters,Player_Name,Pos
71,6.2,65,0.21,0.22,56,1.98,0.53,13.3,1566,44,4,2.76,14,25,46,56,133,560,454,119,0.6335740072202166,0.2888086642599278,0.077617329,4,Lucas Boyé,FW
66,5.2,30,0.4,0.29,31,1.75,0.62,16.4,1712,10,10,3.4,9,9,13,17,87,259,480,74,0.4795539033457249,0.2899628252788104,0.23048327137546468,4,Álex Berenguer,FW
7,3.2,45,0.12,0.19,30,1.79,0.42,18.1,1318,20,6,3.4,11,16,13,12,89,271,403,70,0.6307339449541285,0.30504587155963303,0.064220183,4,Ilias Akhomach,MF
41,2,39,0.1,0.21,27,2.81,0.62,21.2,1419,25,7,3.85,1,1,8,5,41,183,253,28,0.3495702005730659,0.33810888252148996,0.3123209169054441,4,Ezequiel Ávila,FW
544,12.3,40,0.83,0.44,78,2.82,1.3,12.1,666,19,1,2.46,1,2,26,33,61,326,417,150,0.625866051,0.3279445727482679,0.046189376443418015,4,Alexander Sørloth,FW
542,2.3,6,1.03,0.47,12,2.46,1.23,14.8,244,7,1,2.26,3,6,4,1,22,68,87,23,0.6222222222222222,0.3111111111111111,0.066666667,4,Williot Swedberg,FW
18,0.6,50,0.19,0.05,10,0.93,0.37,19.3,1257,29,0,2.71,9,12,5,12,72,245,203,16,0.5519125683060109,0.33879781420765026,0.1092896174863388,4,Domingos André Ribeiro Almeida,FW
40,11.5,161,0.3,0.38,74,2.46,0.76,20,4670,99,6,5.72,4,6,8,11,99,650,816,137,0.4886839899413244,0.34199497066219614,0.16932103939647947,4,Iago Aspas,FW
52,3,80,0.14,0.14,41,1.86,0.64,19.2,2148,38,10,3.58,4,8,12,12,119,457,487,91,0.6681350954478708,0.2790014684287812,0.052863436,4,Jonathan Bamba,MF
53,5.3,45,0.29,0.25,48,2.35,0.88,16.7,1333,21,2,1.93,12,8,22,23,123,416,267,67,0.5904572564612326,0.3121272365805169,0.097415507,4,Léo Baptistão,FW
